Hold 01;Ja;husdyrvidenskab;31;20;blanding;Uden;50
Hold 05;Ja;ikke en af de fire ovenfor;23;50;online;Med;20
Hold 03;Ja;naturressourcer;23;25;fysisk;Med;30
;Ja;jordbrugsíŸkonomi;19;14;blanding;Uden;47
Hold 04;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;27;10;blanding;Med;45
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;23;11;blanding;Uden;31
Hold 07;Ved ikke / Hverken ja eller nej;husdyrvidenskab;24;35;online;Uden;60
Hold 04;Ved ikke / Hverken ja eller nej;husdyrvidenskab;20;20;blanding;Det har jeg ingen mening om;40
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;20;120;blanding;Uden;20
Hold 04;Ja;naturressourcer;22;30;fysisk;Uden;30
Hold 01;Ved ikke / Hverken ja eller nej;husdyrvidenskab;20;30;online;Uden;45
Hold 03;Ja;naturressourcer;29;5;fysisk;Med;60
Hold 05;Ja;husdyrvidenskab;23;180;online;Uden;30
Hold 04;Ja;husdyrvidenskab;23;60;blanding;Det har jeg ingen mening om;20
Hold 02;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;20;20;fysisk;Uden;50
Hold 06;Nej;biologi-bioteknologi;22;25;blanding;Uden;45
Hold 01;Ja;husdyrvidenskab;26;120;fysisk;Det har jeg ingen mening om;40
Hold 03;Nej;naturressourcer;22;30;fysisk;Uden;30
Hold 04;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;23;20;fysisk;Med;40
Hold 05;Ja;biologi-bioteknologi;20;50;online;Uden;45
Hold 05;Ja;husdyrvidenskab;21;30;blanding;Uden;30
Hold 06;Ja;jordbrugsíŸkonomi;22;20;fysisk;Uden;60
Hold 07;Ja;biologi-bioteknologi;24;40;blanding;Uden;50
Hold 03;Ja;biologi-bioteknologi;23;60;blanding;Det har jeg ingen mening om;45
Hold 01;Nej;naturressourcer;24;5;fysisk;Uden;45
Hold 05;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;20;10;blanding;Med;45
Hold 04;Ved ikke / Hverken ja eller nej;husdyrvidenskab;20;60;blanding;Med;45
Hold 03;Ved ikke / Hverken ja eller nej;husdyrvidenskab;22;40;blanding;Uden;45
Hold 03;Ja;naturressourcer;23;30;fysisk;Uden;45
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;23;20;fysisk;Med;30
Hold 06;Ja;husdyrvidenskab;21;25;blanding;Uden;20
Hold 01;Ja;biologi-bioteknologi;22;25;blanding;Med;50
Hold 04;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;26;20;fysisk;Uden;45
Hold 07;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;23;10;blanding;Uden;30
Hold 02;Ja;biologi-bioteknologi;23;15;blanding;Med;30
Hold 07;Ja;biologi-bioteknologi;21;5;fysisk;Uden;30
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;22;15;fysisk;Uden;10
Hold 06;Nej;jordbrugsíŸkonomi;24;10;fysisk;Uden;16
Hold 07;Ved ikke / Hverken ja eller nej;naturressourcer;30;25;blanding;Uden;45
Hold 01;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;22.05;18;fysisk;Det har jeg ingen mening om;40
Hold 05;Ja;naturressourcer;22;15;blanding;Med;30
Hold 05;Ved ikke / Hverken ja eller nej;naturressourcer;26;10;blanding;Uden;45
Hold 01;Ja;biologi-bioteknologi;21;45;fysisk;Uden;20
Hold 01;Nej;biologi-bioteknologi;21;20;fysisk;Det har jeg ingen mening om;35
Hold 04;Ja;naturressourcer;24;15;fysisk;Uden;30
Hold 04;Ja;biologi-bioteknologi;20;20;blanding;Uden;30
Hold 02;Ved ikke / Hverken ja eller nej;naturressourcer;23;20;fysisk;Uden;40
Hold 06;Ja;biologi-bioteknologi;23;20;blanding;Med;30
Hold 06;Ved ikke / Hverken ja eller nej;husdyrvidenskab;21;50;fysisk;Uden;15
Hold 07;Ja;naturressourcer;22;12;fysisk;Med;30
Hold 05;Nej;biologi-bioteknologi;22;30;fysisk;Uden;30
Hold 02;Ved ikke / Hverken ja eller nej;naturressourcer;23;45;fysisk;Med;45
